fila_en_cuadro,cuadro_origen,pagina_pdf,departamento,provincia_o_grupo,localidad_o_subtipo,rotulo_1_derivado_del_bloque,n_columnas,columna,valor,fragmentos_encabezado,es_ultima_columna,columna_rotulo_canonico,columna_codigo_canonico,tipo_columna,fila_id,fila_rotulo_canonico,fila_codigo_canonico,tipo_entidad,estructura_fila,fila_padre_id,nivel_jerarquia,es_hoja_jerarquia,departamento_derivado,gestion,revisado_manual
22,4.1.3,111,LA PAZ,Los Andes,Pucarani,False,12,col_01,24795,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
23,4.1.3,111,LA PAZ,Aroma,Sica Sica,False,12,col_01,20598,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
24,4.1.3,111,LA PAZ,Aroma,Patacamaya,False,12,col_01,22303,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
25,4.1.3,111,LA PAZ,Nor Yungas,Coroico,False,12,col_01,16599,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
26,4.1.3,111,LA PAZ,Abel Iturralde,Ixiamas,False,12,col_01,9690,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
27,4.1.3,111,LA PAZ,Baptista Saavedra Charazani (Gral. Juan J. P,,False,12,col_01,9267,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
28,4.1.3,111,LA PAZ,Manco Kapac,Copacabana,False,12,col_01,12575,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
29,4.1.3,111,LA PAZ,Caranavi,Caranavi,False,12,col_01,45500,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
30,4.1.3,111,LA PAZ,TOTALES,,False,12,col_01,557158,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,La Paz,2023,False
1,4.1.4,112,COCHABAMBA,Campero,Aiquile,False,19,col_01,21190,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022,False,Población proyectada al 2022,poblacion_proyectada_2022,poblacion,,,,,,,,,Cochabamba,2023,False
